2026-07-24 03:36:41 | INFO     | embedding_service:195 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Embedding 145 chunks (batch=64) …
2026-07-24 03:36:41 | INFO     | app.services.embedding_service:159 | Loading embedding model 'BAAI/bge-m3' …
2026-07-24 03:36:43 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:36:45 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:36:53 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:36:55 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:36:59 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:37:00 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:37:04 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:37:06 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:37:09 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:37:11 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:37:14 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:37:16 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:37:19 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:37:21 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:37:25 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:37:27 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:37:30 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:37:32 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:37:35 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:37:37 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:37:41 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:37:42 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:37:46 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:37:47 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:37:51 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:37:53 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:37:56 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:37:58 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
